name,fullname,dob,country,position,foot,weight,height,potential,elo,href
Nano,Fernando Macedo Da Silva Rodilla,1982-04-20,Spain,DF (Defender),Two-Footed,80.0,186.0,68,68,/player/nano-38031
Maximiliano Rodriguez,Maximiliano Ruben Rodriguez,1981-01-02,Argentina,STR (Striker),Right,79.0,180.0,86,64,/player/m-rodriguez-65427
Gaizka Garitano,Gaizka Garitano,1975-07-09,Spain,MID (Midfielder),Unknown,76.0,183.0,71,71,/player/gaizka-garitano
Javi Muñoz,Javier Muñoz Arévalo,1982-01-27,Spain,GOA (Goalkeeper),Unknown,85.0,189.0,56,33,/player/javi-munoz-34794
Andrés Palop,Andrés Palop,1973-10-22,Spain,GOA (Goalkeeper),Right,80.0,185.0,85,85,/player/a-palop-23480
Sito,Sito,1981-12-02,Spain,GOA (Goalkeeper),Left-footed,69.0,178.0,46,46,/player/alfonso-monreal-gonzalo
Curro Torres,Cristóbal Emilio Torres Ruiz,1976-12-27,Germany,DF (Defender),Unknown,76.0,180.0,83,83,/player/cristobal-emilio-torres-ruiz
Javi Martos,Francisco Javier Martos Espigares,1984-01-04,Spain,DF (Defender),Two-Footed,73.0,181.0,75,48,/player/javi-martos-139938
Carlos Alcántara,Carlos Alcantara Cuevas,1985-02-01,Spain,DF (Defender),Left-footed,73.0,178.0,56,41,/player/alcantara-80326
Paco Esteban,Francisco Esteban Granados,1981-08-21,Spain,STR (Striker),Unknown,70.0,178.0,57,57,/player/paco-esteban-27387
Alberto Aguilar,Alberto Aguilar Leiva,1984-07-12,Spain,DF (Defender),Right,81.0,184.0,67,67,/player/alberto-aguilar-23880
Gallardo,Francisco Gallardo León,1980-01-13,Spain,MID (Midfielder),Unknown,70.0,174.0,74,74,/player/gallardo-23994
Sylvinho,Silvio Mendes De Campos Junior,1974-04-12,Brazil,DF (Defender),Unknown,66.0,173.0,79,79,/player/sylvinho
Marcelo Romero,Clever Marcelo Romero Silva,1976-07-04,Uruguay,MID (Midfielder),Unknown,73.0,176.0,76,76,/player/romero-257693
Roberto Soldado,Roberto Soldado Rillo,1985-05-27,Spain,STR (Striker),Right,74.0,180.0,89,59,/player/r-soldado-23519
Ronaldinho,Ronaldo De Assis Moreira,1980-03-21,Brazil,MID (Midfielder),Right,80.0,182.0,95,94,/player/ronaldinho-27076
Javier López Vallejo,Javier López Vallejo,1975-09-25,Spain,GOA (Goalkeeper),Unknown,77.0,185.0,80,80,/player/javier-lopez-vallejo
Saúl,Saúl Fernández García,1985-04-09,Spain,MID (Midfielder),Right,78.0,176.0,63,63,/player/saul-70090
Enzo Maresca,Enzo Maresca,1980-02-10,Italy,MID (Midfielder),Right,77.0,180.0,82,82,/player/e-maresca-7432
Jajá Coelho,Jackson Avelino De Coelho,1986-02-28,Brazil,STR (Striker),Left-footed,84.0,190.0,73,73,/player/jaja-213065
Valdo,Valmiro Lopes Rocha,1981-04-23,Spain,STR (Striker),Right,78.0,184.0,77,77,/player/valdo-23365
Pablo Contreras,Pablo Andrés Contreras Fica,1978-09-11,Chile,DF (Defender),Right,78.0,182.0,77,76,/player/p-contreras-53241
Armando,Armando Ribeiro De Aguiar Malda,1971-01-16,Spain,GOA (Goalkeeper),Right,79.0,180.0,73,73,/player/armando-riveiro-de-aguilar-malda
Izquierdo,José Izquierdo Martínez,1980-08-03,Spain,DF (Defender),Unknown,70.0,175.0,78,78,/player/jose-izquierdo
Antonio Calderón,Antonio Calderón Vallejo,1984-03-31,Spain,STR (Striker),Right,68.0,168.0,52,52,/player/calderon-28037
Igor Gabilondo,Igor Gabilondo Del Campo,1979-02-10,Spain,MID (Midfielder),Right,75.0,185.0,73,73,/player/gabilondo-29969
Q. Álvarez,Enrique Álvarez Sanjuán,1975-07-20,Spain,DF (Defender),Unknown,,,82,81,/player/enrique-alvarez-san-juan
Joseba Etxeberría,Joseba Etxeberría,1977-09-05,Spain,STR (Striker),Right,72.0,178.0,85,85,/player/joseba-etxeberria-lizardi
José Enrique,José Enrique De La Sánchez Diaz,1986-01-23,Spain,DF (Defender),Left-footed,80.0,184.0,82,82,/player/jose-enrique-166
Ánder Murillo,Ander Murillo González,1983-07-22,Spain,DF (Defender),Right,76.0,182.0,74,74,/player/ander-murillo-garcia
Marcos Tébar,Marcos Tébar Ramiro,1986-02-07,Spain,MID (Midfielder),Right,77.0,185.0,65,65,/player/tebar-47717
Rodolfo Arruabarrena,Rodolfo Martín Arruabarrena,1975-07-20,Argentina,DF (Defender),Unknown,70.0,178.0,87,87,/player/rodolfo-arruabarrena
Pablo Sicilia,Pablo Sicilia,1981-09-10,Spain,DF (Defender),Two-Footed,83.0,182.0,72,71,/player/pablo-sicilia-roig
Goitia,Iñaki Goitia Peña,1982-03-02,Spain,GOA (Goalkeeper),Right,79.0,188.0,73,73,/player/goitia-30965
Ismael Falcón,Ismael Gómez Falcón,1984-04-24,Spain,GOA (Goalkeeper),Right,78.0,182.0,68,52,/player/falcon-10812
Ariel Ibagaza,Ariel Ibagaza,1976-10-27,Argentina,MID (Midfielder),Two-Footed,65.0,166.0,81,81,/player/ariel-miguel-santiago-ibagaza
Rafael Márquez,Rafael Márquez Álvarez,1979-02-13,Mexico,DF (Defender),Two-Footed,81.0,184.0,84,84,/player/r-marquez-23561
César Navas,César González Navas,1980-02-14,Spain,DF (Defender),Left-footed,88.0,197.0,81,81,/player/c-navas-34478
David Silva,David Josué Jiménez Silva,1986-01-08,Spain,MID (Midfielder),Two-Footed,67.0,170.0,92,82,/player/d-silva-23382
Fábio Aurélio,Fábio Aurélio Rodrigues,1979-09-24,Brazil,DF (Defender),Left-footed,75.0,178.0,80,80,/player/f-aurelio-126
Alberto,Alberto López Fernández,1969-05-20,Spain,GOA (Goalkeeper),Unknown,80.0,182.0,85,85,/player/alberto-205941
Javier Arizmendi,Ángel Javier Arizmendi De Lucas,1984-03-03,Spain,STR (Striker),Right,83.0,189.0,73,72,/player/angel-javier-arizmendi-de-lucas-11010
Ayoze Díaz,Ayoze Díaz Díaz,1982-05-25,Argentina,DF (Defender),Left-footed,70.0,175.0,77,76,/player/ayoze-diaz-32972
Jorge Gotor,Jorge Gotor,1987-04-14,Spain,DF (Defender),Right,76.0,187.0,52,43,/player/jorge-gotor-blas-35420
Nihat,Nihat Kahveci,1979-11-23,Turkey,STR (Striker),Unknown,71.0,175.0,84,84,/player/nihat-kahveci
Mariano Pernía,Mariano Andres Pérnía,1977-05-04,Argentina,DF (Defender),Left-footed,80.0,180.0,83,83,/player/mariano-andres-pernia
Quique De Lucas,Enrique De Lucas,1978-08-17,Spain,STR (Striker),Unknown,65.0,175.0,71,71,/player/de-lucas-30385
Óscar Téllez,Óscar Téllez Gómez,1975-04-02,Spain,DF (Defender),Unknown,90.0,183.0,83,83,/player/oscar-tellez
Aritz Aduriz,Aritz Aduriz Zubeldia,1981-02-11,Spain,STR (Striker),Right,75.0,181.0,90,90,/player/a-aduriz-27116
Samuel Eto'o,Samuel Eto'o Fils,1981-03-10,Cameroon,STR (Striker),Right,75.0,180.0,95,95,/player/s-eto-o-23565
Pablo Orbaiz,Pablo Orbaiz,1979-02-06,Spain,MID (Midfielder),Right,75.0,180.0,82,82,/player/p-orbaiz-29970
Josemi,José Miguel González Rey,1979-11-15,Spain,DF (Defender),Right,80.0,183.0,77,76,/player/josemi-27022
Galán,Francisco Gonzalo Galán Quesada,1985-01-09,Spain,GOA (Goalkeeper),Unknown,79.0,182.0,43,43,/player/francisco-gonzalo-galan-quesada
Javier Balboa,Javier Ángel Balboa Osa,1985-05-13,Spain,STR (Striker),Right,76.0,182.0,69,69,/player/j-balboa-47710
Cani,Rubén Gracia Calmache,1981-08-03,Spain,MID (Midfielder),Right,75.0,180.0,80,79,/player/cani-23466
Borja,Borja Fernández Fernández,1981-01-14,Spain,MID (Midfielder),Right,83.0,188.0,73,69,/player/borja-23372
Carles Puyol,Carles Puyol I Saforcada,1978-04-13,Spain,DF (Defender),Right,80.0,178.0,90,90,/player/puyol-23562
Daniel Mallo,Dani Mallo Castro,1979-01-25,Spain,GOA (Goalkeeper),Right,83.0,185.0,65,65,/player/dani-mallo-29370
Juan Riquelme,Juan Román Riquelme,1978-06-24,Argentina,MID (Midfielder),Right,75.0,182.0,91,90,/player/j-riquelme-81610
Cosmin Contra,Cosmin Contra,1975-12-15,Romania,DF (Defender),Unknown,74.0,180.0,82,82,/player/cosmin-marius-contra-10218
Edu Gaspar,Eduardo César Daude Gaspar,1978-05-15,Brazil,MID (Midfielder),Left-footed,85.0,189.0,78,78,/player/eduardo-cesar-daud-gaspar
Óscar López,Oscar Lopez Martinez,1984-02-05,Spain,DF (Defender),Left-footed,87.0,191.0,63,60,/player/oscar-lopez-29522
Juan Peña,Juan Manuel Peña Montano,1973-01-17,Bolivia,DF (Defender),Unknown,70.0,183.0,79,79,/player/juan-manuel-pena
Mauricio Pochettino,Mauricio Roberto Pochettino Trossero,1972-03-02,Argentina,DF (Defender),Unknown,80.0,182.0,84,84,/player/pochettino-257705
Jesús Gámez,Jesús Gámez Duarte,1985-04-10,Spain,DF (Defender),Right,77.0,182.0,80,80,/player/jesus-gamez-23532
Daniel Güiza,Daniel González Güiza,1980-08-17,Spain,STR (Striker),Right,77.0,182.0,86,36,/player/d-guiza-217020
Miguel Moyá,Miguel Ángel Moyá Rumbo,1984-04-02,Spain,GOA (Goalkeeper),Right,75.0,185.0,79,79,/player/moya-28767
Giovanni Van Bronckhorst,Giovanni Van Bronckhorst,1975-02-05,Netherlands,DF (Defender),Left-footed,75.0,178.0,84,84,/player/giovanni-van-bronckhorst
Xavi,Xavier Hernández Creus,1980-01-25,Spain,MID (Midfielder),Right,68.0,170.0,90,90,/player/xavi-23564
Juan Domínguez,Juan Domínguez Otaegui,1983-12-29,Spain,MID (Midfielder),Right,72.0,175.0,65,62,/player/juan-dominguez-29509
Jan Kromkamp,Jan Kromkamp,1980-08-17,Netherlands,DF (Defender),Right,83.0,184.0,80,80,/player/jan-kromkamp-1430
Santiago Cazorla,Santiago Cazorla González,1984-12-13,Spain,MID (Midfielder),Two-Footed,66.0,168.0,87,70,/player/s-cazorla-27040
Dañobeitia,Mikel Dañobeitia Martín,1986-03-05,Spain,MID (Midfielder),Right,76.0,179.0,58,58,/player/danobeitia-27188
David Navarro,David Navarro Pedrós,1980-05-25,Spain,DF (Defender),Right,82.0,188.0,80,79,/player/d-navarro-7280
César,César Martin Villar,1977-04-03,Spain,DF (Defender),Unknown,81.0,185.0,78,78,/player/cesar-martin-villar
Roberto Santamaría,Roberto Santamaría Ciprian,1985-02-17,Spain,GOA (Goalkeeper),Right,75.0,183.0,65,56,/player/santamaria-33112
Guayre,Antonio Guayre Betancort Perdomo,1980-04-23,Spain,STR (Striker),Right,70.0,177.0,75,73,/player/guayre-23551
Ricardo Bóvio,Ricardo Bóvio De Souza,1982-01-17,Brazil,MID (Midfielder),Unknown,77.0,178.0,67,67,/player/ricardo-bovio
Chus Herrero,Jesús María Herrero Gómez,1984-02-10,Spain,DF (Defender),Right,75.0,183.0,64,48,/player/chus-herrero-29736
Hugo Viana,Hugo Miguel Ferreira Gomes Viana,1983-01-15,Portugal,MID (Midfielder),Right,74.0,178.0,78,78,/player/hugo-viana-36809
Xisco Nadal,Francisco Sebastián Nadal Martorell,1986-06-27,Spain,STR (Striker),Unknown,81.0,181.0,58,58,/player/francisco-sebastian-nadal-martorell-29357
Ángel López,Ángel Domingo López Ruano,1981-03-10,Spain,DF (Defender),Two-Footed,71.0,180.0,82,82,/player/angel-lopez-23461
Álvaro Novo,Álvaro Novo,1978-05-16,Spain,MID (Midfielder),Unknown,76.0,183.0,81,81,/player/alvaro-novo
Jandro,Alejandro Castro Fernandez,1979-02-27,Spain,MID (Midfielder),Right,76.0,175.0,69,68,/player/jandro-30560
Héctor,Héctor Berenguel Del Pino,1974-11-10,Spain,DF (Defender),Unknown,77.0,183.0,76,75,/player/hector
Juan Rodríguez,Juan Antonio Rodríguez Villamuela,1982-04-01,Spain,MID (Midfielder),Right,80.0,185.0,79,79,/player/juan-rodriguez-23582
Fabio Celestini,Fabio Celestini,1975-10-30,Switzerland,MID (Midfielder),Unknown,74.0,180.0,74,74,/player/fabio-celestini
Javi Rubio,José Javier Rubio Gómez,1984-11-16,Spain,MID (Midfielder),Right,78.0,175.0,61,61,/player/javi-rubio-67801
José Pinto,José Manuel Pinto Colorado,1975-11-08,Spain,GOA (Goalkeeper),Right,82.0,185.0,79,79,/player/pinto-23558
Portilla,Cristian Portilla Rodríguez,1988-08-28,Spain,MID (Midfielder),Left-footed,76.0,180.0,58,57,/player/cristian-portilla-38387
Miguel Angulo,Miguel Ángel Angulo,1977-06-23,Spain,MID (Midfielder),Unknown,74.0,180.0,83,83,/player/miguel-angulo
Cicinho,Cícero João De Cézare,1980-06-24,Brazil,DF (Defender),Right,72.0,172.0,87,87,/player/cicinho-21119
Sebastián Viera,Mario Sebastián Viera Galain,1983-03-07,Uruguay,GOA (Goalkeeper),Right,86.0,184.0,87,85,/player/sebastian-viera-208191
Walter Pandiani,Walter Pandiani,1976-04-27,Uruguay,STR (Striker),Right,74.0,184.0,82,82,/player/pandiani-23457
Maximiliano López,Maximiliano Gastón López,1984-04-03,Argentina,STR (Striker),Right,81.0,185.0,80,80,/player/m-lopez-22713
José Martí,José Luis Martí,1975-04-28,Spain,MID (Midfielder),Right,74.0,180.0,83,83,/player/marti-23391
Julián De Guzmán,Julian De Guzmán,1981-03-25,Canada,MID (Midfielder),Left-footed,66.0,169.0,74,74,/player/j-de-guzman-7380
Edu,Luis Eduardo Schmidt,1979-01-10,Brazil,STR (Striker),Unknown,70.0,183.0,81,81,/player/luis-schmidt
Luciano Figueroa,Luciano Figueroa,1981-05-19,Argentina,STR (Striker),Right,74.0,180.0,74,74,/player/l-figueroa-54504
Robinho,Róbson De Souza,1984-01-25,Brazil,STR (Striker),Two-Footed,60.0,172.0,86,86,/player/robinho-27171
Armando Sá,Armando Miguel Correia De Sá,1975-09-16,Mozambique,DF (Defender),Unknown,72.0,177.0,71,71,/player/armando-sa-257811
Lionel Messi,Lionel Andrés Messi Cuccittini,1987-06-24,Argentina,STR (Striker),Left-footed,72.0,170.0,99,98,/player/l-messi-23569
Andrés Fleurquin,Andrés José Fleurquin Rubio,1975-02-08,Uruguay,MID (Midfielder),Unknown,83.0,187.0,68,68,/player/a-fleurquin-210969
Vitolo,Víctor Javier Añino Bermúdez,1983-09-09,Spain,MID (Midfielder),Right,68.0,170.0,72,47,/player/vitolo-53246
Moratón,José Moratón,1979-07-14,Spain,DF (Defender),Unknown,78.0,186.0,74,74,/player/jose-moraton-taeno
Roberto Sousa,Roberto De Sousa Rezende,1985-01-18,Brazil,MID (Midfielder),Unknown,75.0,177.0,70,70,/player/roberto-de-sousa-rezende-60078
Javi Garrido,Javier Garrido Behobide,1985-03-15,Spain,DF (Defender),Left-footed,76.0,179.0,73,73,/player/j-garrido-136
Jesús Lacruz,Jesús María Lacruz,1978-04-25,Spain,DF (Defender),Right,70.0,175.0,78,78,/player/lacruz-11387
Diego López,Diego López Rodríguez,1981-11-03,Spain,GOA (Goalkeeper),Right,88.0,196.0,85,70,/player/diego-lopez-23458
Morán,Fernando Morán,1976-04-27,Spain,STR (Striker),Unknown,69.0,175.0,72,71,/player/moran-29233
Gonzalo Colsa,Gonzalo Colsa Albendea,1979-04-02,Spain,MID (Midfielder),Unknown,77.0,185.0,81,80,/player/colsa-27043
Corona,Miguel Ángel García Pérez-Roldán,1981-02-12,Spain,MID (Midfielder),Right,,,70,68,/player/miki-179783
Juan Calatayud,Juan Calatayud Sánchez,1979-12-21,Spain,GOA (Goalkeeper),Unknown,85.0,191.0,72,72,/player/j-calatayud-29221
Jesús Olmo,Jesús Olmo Lozano,1985-01-24,Spain,DF (Defender),Right,78.0,176.0,67,46,/player/j-olmo-29070
Jorge Pina,Jorge Pina Roldán,1983-02-28,Spain,MID (Midfielder),Left-footed,70.0,174.0,58,57,/player/jorge-pina-29349
Raúl Llorente,Raúl Llorente,1986-04-02,Spain,DF (Defender),Two-Footed,67.0,171.0,63,63,/player/raul-llorente-23949
César Arzo,César Arzo Amposta,1986-01-21,Spain,DF (Defender),Right,72.0,186.0,71,71,/player/arzo-23400
Pablo Ibáñez,Pablo Ibáñez Tébar,1981-08-03,Spain,DF (Defender),Right,80.0,195.0,84,84,/player/pablo-ibanez-tebar
Óscar De Paula,Oscar De Paula Gamero,1975-05-31,Spain,STR (Striker),Unknown,77.0,182.0,73,73,/player/oscar-de-paula-gamero
David López,David López Moreno,1982-09-10,Spain,MID (Midfielder),Two-Footed,70.0,180.0,78,46,/player/david-lopez-29967
Rubén Castro,Rubén Castro Martín,1981-06-27,Spain,STR (Striker),Right,68.0,169.0,86,70,/player/ruben-castro-7564
José Jurado,José Manuel Jurado Marín,1986-06-29,Spain,MID (Midfielder),Two-Footed,72.0,173.0,82,82,/player/j-jurado-28176
Toni Muñoz,Toni Muñoz,1982-01-01,Spain,STR (Striker),Unknown,70.0,175.0,35,35,/player/toni-munoz-23061
Juan Valerón,Juan Carlos Valerón,1975-06-17,Spain,MID (Midfielder),Right,70.0,180.0,86,86,/player/valeron-23583
Muñoz,Iñaki Muñoz,1978-07-05,Spain,MID (Midfielder),Right,80.0,185.0,71,70,/player/munoz-29972
Antonio Valencia,Luis Antonio Valencia Mosquera,1985-08-04,Ecuador,MID (Midfielder),Right,78.0,181.0,85,85,/player/a-valencia-475
Urko Arroyo,Urko Arroyo Rivas,1987-05-14,Spain,STR (Striker),Right,63.0,170.0,59,48,/player/urko-arroyo-rivas-76149
Poli,Hipólito Fernandez Serrano,1977-03-20,Spain,DF (Defender),Unknown,73.0,185.0,77,77,/player/hipolito-fernandez-serrano
Valcarce,Vicente Valcarce Cano,1974-10-19,Spain,DF (Defender),Unknown,70.0,170.0,80,80,/player/vicente-valcarce
Jordi López,Jordi López Felpeto,1981-02-28,Spain,DF (Defender),Right,77.0,182.0,69,67,/player/jordi-lopez-69871
Juanjo,Juan José Expósito Ruiz,1985-10-28,Spain,STR (Striker),Right,80.0,183.0,60,60,/player/juanjo-23478
Héctor Font,Héctor Font Romero,1984-06-15,Spain,MID (Midfielder),Left-footed,67.0,170.0,65,65,/player/hector-font-7406
Juanma Ortiz,Juan Manuel Ortiz Palazón,1982-03-01,Spain,DF (Defender),Right,70.0,179.0,74,52,/player/juanma-ortiz-23446
Jesús Muñoz,Jesús Muñoz Calonge,1976-01-01,Spain,MID (Midfielder),Unknown,74.0,176.0,67,67,/player/jesus-munoz-257808
Andrés Iniesta,Andrés Iniesta Luján,1984-05-11,Spain,MID (Midfielder),Right,65.0,170.0,87,67,/player/a-iniesta-22806
Sergio Sánchez,Sergio Sánchez Ortega,1986-04-03,Spain,DF (Defender),Right,78.0,185.0,76,76,/player/sergio-sanchez-30567
Capi,Manuel Borja Calvar Simón,1981-04-02,Spain,DF (Defender),Left-footed,80.0,188.0,56,54,/player/capi-30906
Wilfried Dalmat,Wilfried Dalmat,1982-07-17,France,STR (Striker),Right,75.0,176.0,70,70,/player/wilfried-dalmat
Sergio Ramos,Sergio Ramos García,1986-03-30,Spain,DF (Defender),Right,73.0,183.0,95,87,/player/sergio-ramos-23341
Ito,Antonio Álvarez Pérez,1975-01-21,Spain,MID (Midfielder),Unknown,70.0,175.0,74,74,/player/ito
Sergio,Sergio González Soriano,1976-11-10,Spain,MID (Midfielder),Right,75.0,180.0,85,85,/player/sergio-gonzalez-soriano
Antonio López,Antonio López Guerrero,1981-09-13,Spain,DF (Defender),Left-footed,65.0,175.0,85,85,/player/antonio-lopez-23522
Arzu,Arturo García Muñoz,1981-03-17,Spain,MID (Midfielder),Unknown,78.0,183.0,77,77,/player/arzu-23333
César Jiménez,César Jiménez,1977-11-28,Spain,DF (Defender),Unknown,77.0,183.0,70,67,/player/cesar-jimenez
Carlos Gurpegui,Carlos Gurpegi Nausia,1980-09-19,Spain,DF (Defender),Right,77.0,181.0,83,83,/player/c-gurpegui-29971
Roberto Ayala,Roberto Ayala,1973-04-14,Argentina,DF (Defender),Unknown,74.0,177.0,86,86,/player/roberto-fabian-ayala
Javi Guerrero,Javi Guerrero,1976-10-22,Spain,STR (Striker),Left-footed,68.0,174.0,77,77,/player/javi-guerrero-30702
Miguel,Miguel Martínez De Corta,1981-11-25,Spain,GOA (Goalkeeper),Right,84.0,190.0,64,48,/player/miguel-29260
Gorka Larrea,Gorka Larrea García,1984-04-07,Spain,MID (Midfielder),Right,70.0,182.0,53,53,/player/gorka-larrea-29346
Edgar,Edgar Patricio Carvalho Pacheco,1977-08-07,Angola,STR (Striker),Unknown,83.0,178.0,74,74,/player/edgar
Oriol,Oriol Lozano Farran,1981-05-23,Spain,DF (Defender),Right,70.0,183.0,70,69,/player/oriol-23473
Moisés Hurtado,Moisés Hurtado,1981-02-20,Spain,DF (Defender),Right,85.0,185.0,79,78,/player/moises-23359
Calleja,Javier Calleja,1978-05-12,Spain,MID (Midfielder),Unknown,76.0,171.0,73,73,/player/javier-calleja-revilla
Sávio,Sávio Bortolini Pimentel,1974-01-09,Brazil,MID (Midfielder),Left-footed,69.0,175.0,87,87,/player/savio-257804
Federico Azcárate,Federico Xavier Azcárate,1984-06-15,Argentina,DF (Defender),Right,80.0,190.0,57,57,/player/f-azcarate-11129
Varela,Fernando Varela Ramos,1979-09-01,Spain,DF (Defender),Two-Footed,78.0,180.0,79,78,/player/varela-23389
Mena,José María Mena García,1978-09-28,Spain,STR (Striker),Right,73.0,178.0,68,68,/player/mena-112367
Tarantino,Francisco Tarantino Uriarte,1984-06-26,Spain,DF (Defender),Left-footed,77.0,182.0,64,64,/player/tarantino-27523
Jonathan Soriano,Jonathan Soriano Casas,1985-09-24,Spain,STR (Striker),Right,75.0,180.0,83,83,/player/j-soriano-29479
Gonzalo Rodríguez,Gonzalo Javier Rodríguez,1984-04-10,Argentina,DF (Defender),Right,79.0,182.0,85,85,/player/g-rodriguez-23463
Ibon Gutiérrez,Ibon Gutiérrez Fernández,1984-07-10,Spain,MID (Midfielder),Right,65.0,174.0,53,53,/player/i-gutierrez-34734
Jonás Gutiérrez,Jonás Manuel Gutiérrez,1983-07-05,Argentina,MID (Midfielder),Right,78.0,183.0,82,82,/player/j-gutierrez-63293
Didier Domi,Didier Arsène Marcel Domi,1978-05-02,France,DF (Defender),Left-footed,70.0,175.0,72,72,/player/didier-domi
Rodri,Sergio Rodríguez García,1984-08-17,Spain,DF (Defender),Right,78.0,185.0,69,69,/player/rodri-29230
Angel Lafita,Ángel Lafita Castillo,1984-08-07,Spain,MID (Midfielder),Right,73.0,188.0,74,74,/player/lafita-28268
David Belenguer,David Belenguer,1972-12-17,Spain,DF (Defender),Unknown,74.0,180.0,78,78,/player/david-belenguer-reverte
Luis Perea,Luis Amaranto Perea Mosquera,1979-01-30,Colombia,DF (Defender),Right,73.0,184.0,83,83,/player/l-perea-7295
Roberto Carlos,Roberto Carlos Da Silva Rocha,1973-04-10,Brazil,DF (Defender),Left-footed,70.0,168.0,93,93,/player/roberto-carlos-31611
Mikel Saizar,Mikel Saizar Soroa,1983-01-18,Spain,GOA (Goalkeeper),Right,87.0,188.0,65,52,/player/saizar-31069
Duda,Sérgio Paulo Barbosa Valente,1980-06-27,Portugal,MID (Midfielder),Left-footed,72.0,174.0,81,81,/player/duda-28112
Adriano,Adriano Correia Claro,1984-10-26,Brazil,DF (Defender),Two-Footed,67.0,172.0,83,83,/player/adriano-23484
Fernando Torres,Fernando José Torres Sanz,1984-03-20,Spain,STR (Striker),Right,78.0,186.0,91,91,/player/f-torres-29366
Víctor Casadesús,Víctor Manuel Casadesús Castaño,1985-02-28,Spain,STR (Striker),Right,80.0,180.0,75,46,/player/victor-23652
Juanito,Juan Jesús Gutiérrez Robles,1980-02-17,Spain,MID (Midfielder),Unknown,80.0,185.0,74,74,/player/juan-jesus-gutierrez-robles
Damià,Damià Abella Pérez,1982-04-15,Spain,DF (Defender),Right,79.0,188.0,74,74,/player/damia-23328
Pablo Couñago,Pablo Gonzalez Counago,1979-08-09,Spain,STR (Striker),Unknown,70.0,183.0,69,69,/player/pablo-counago
Jesús Perera,José Jesús Perera López,1980-04-12,Spain,STR (Striker),Right,74.0,176.0,71,71,/player/jesus-perera-23632
Mariano Barbosa,Mariano Damián Barbosa,1984-07-27,Argentina,GOA (Goalkeeper),Two-Footed,77.0,190.0,69,69,/player/m-barbosa-68125
Marcos Assunção,Marcos Santos Assunção,1976-07-25,Brazil,MID (Midfielder),Right,76.0,178.0,83,83,/player/marcos-assuncao-7350
Fernando Llorente,Fernando Llorente Torres,1985-02-26,Spain,STR (Striker),Right,90.0,195.0,88,51,/player/f-llorente-29980
Angelos Basinas,Aggelos Basinas,1976-01-03,Greece,MID (Midfielder),Unknown,76.0,180.0,78,78,/player/angelos-basinas
Rivas,David Rivas Rodríguez,1978-12-02,Spain,DF (Defender),Unknown,85.0,190.0,80,80,/player/rivas-23329
Agustín Aranzabal,Agustín Aranzábal Alkorta,1973-03-15,Spain,DF (Defender),Unknown,76.0,185.0,83,83,/player/augustin-aranzabal
