Date,HomeTeam,AwayTeam,home_lineup_names,away_lineup_names
2005-09-10,Real Madrid,Celta,"['Iker Casillas', 'Roberto Carlos', 'Míchel Salgado', 'Iván Helguera', 'Francisco Pavón', 'David Beckham', 'Guti', 'Thomas Gravesen', 'Robinho', 'Ronaldo', 'Júlio Baptista']","['José Pinto', 'Sergio', 'Ángel López', 'Diego Placente', 'Pablo Contreras', 'Borja Oubiña', 'Iriney', 'Gustavo López', 'Fabian Canobbio', 'Fernando Baiano', 'Antonio Núñez']"
2005-09-10,Real Betis,Osasuna,"['Doblas', 'Juanito', 'Óscar López', 'Rivas', 'Luis Fernández', 'Rivera', 'Marcos Assunção', 'Joaquín', 'Edu', 'Xisco Muñoz', 'Ricardo Oliveira']","['Elía', 'César Cruchaga', 'Javi Flaño', 'Miguel Flaño', 'Enrique Corrales', 'Francisco Puñal', 'David López', 'Ludovic Delporte', 'Raúl García', 'Bernardo Romeo', 'Savo Milosevic']"
2005-09-10,RC Deportivo,Atlético,"['Molina', 'Jorge Andrade', 'Manuel Pablo', 'Romero', 'Joan Capdevila', 'Aldo Duscher', 'Sergio', 'Juan Valerón', 'Diego Tristán', 'Pedro Munitis', 'Rubén Castro']","['Leonardo Franco', 'Antonio López', 'Pablo Ibáñez', 'Luis Perea', 'Juan Valera', 'Gabi', 'Luciano Galletti', 'Peter Luccin', 'José Zahínos', 'Maximiliano Rodriguez', 'Fernando Torres']"
2005-09-11,Barcelona,Mallorca,"['Víctor Valdés', 'Carles Puyol', 'Rafael Márquez', 'Giovanni Van Bronckhorst', 'Juliano Belletti', 'Oleguer', 'Deco', 'Xavi', 'Ronaldinho', ""Samuel Eto'o"", 'Ludovic Giuly']","['Miguel Moyá', 'Sergio Ballesteros', 'Alessandro Potenza', 'Fernando Navarro', 'David Cortés', 'Guillermo Pereyra', 'Javier Farinós', 'Juan Arango', 'Campano', 'Yordi', 'Yoshito Okubo']"
2005-09-11,Getafe,Athletic,"['Luis García', 'Mariano Pernía', 'David Belenguer', 'Aníbal Matellán', 'Cosmin Contra', 'Diego Rivas', 'Fabio Celestini', 'Mario Cotelo', 'Jaime Gavilán', 'Riki', 'Daniel Güiza']","['Daniel Aranzubia', 'Casas', 'Luis Prieto', 'Andoni Iraola', 'Unai Expósito', 'Carlos Gurpegui', 'Ibon Gutiérrez', 'Pablo Orbaiz', 'Francisco Yeste', 'Fernando Llorente', 'Joseba Etxeberría']"
2005-09-11,Racing,Cádiz,"['Dudu Aouate', 'Moratón', 'Samuel', 'Walid Regragui', 'Pinillos', 'Javi Casquero', 'Vitolo', 'Jonathan Valle', 'Stéphane Dalmat', 'José Marqués', 'David Aganzo']","['Armando', 'De Quintana', 'Abraham Paz', 'Raul', 'Varela', 'Andrés Fleurquin', 'Suárez', 'Pavoni', 'Sesma', 'Enrique', 'Oli']"
2005-09-11,R. Sociedad,Alavés,"['Asier Riesgo', 'Labaka', 'Igor Jáuregi', 'Mikel Alonso', 'López Rekarte', 'Mikel Aranburu', 'Xabi Prieto', 'Gaizka Garitano', 'Barkero', 'Darko Kovacevic', 'Garikoitz Uranga']","['Roberto Bonano', 'Edu Alonso', 'Martín Astudillo', 'Josu Sarriegi', 'Poli', 'Juanito', 'Jandro', 'Quique De Lucas', 'Nenê', 'Rubén Navarro', 'Bodipo']"
2005-09-11,Villarreal,Sevilla,"['Sebastián Viera', 'Q. Álvarez', 'Gonzalo Rodríguez', 'Rodolfo Arruabarrena', 'Jan Kromkamp', 'Josico', 'Alessio Tacchinardi', 'Santiago Cazorla', 'Juan Riquelme', 'José Mari', 'Diego Forlán']","['Andrés Palop', 'David Prieto', 'Aitor Ocio', 'David Castedo', 'Daniel Alves', 'Enzo Maresca', 'José Martí', 'Adriano', 'Renato', 'Kepa', 'Frédéric Kanouté']"
2005-09-11,Málaga,Espanyol,"['Francesc Arnau', 'Alexis', 'Gerardo', 'Nacho', 'César Navas', 'Valcarce', 'Fernando Sanz', 'Juan Rodríguez', 'Duda', 'Salva Ballesta', 'Chengue Morales']","['Carlos Kameni', 'Juanfran', 'Alberto Lopo', 'David García', 'Daniel Jarque', 'Pablo Zabaleta', 'Didier Domi', 'Fredson', 'Eduardo Costa', 'Luis García', 'Raúl Tamudo']"
2005-09-11,Real Zaragoza,Valencia,"['César', 'Gabriel Milito', 'Delio Toledo', 'Álvaro Maior', 'José Movilla', 'Leonardo Ponzio', 'Alberto Zapater', 'Sávio', 'Óscar', 'Diego Milito', 'Ewerthon']","['Santiago Cañizares', 'Roberto Ayala', 'Fábio Aurélio', 'Raúl Albiol', 'Emiliano Moretti', 'David Albelda', 'Rubén Baraja', 'Francisco Rufete', 'Miguel Angulo', 'Mista', 'Marco Di Vaio']"
2005-09-17,Valencia,RC Deportivo,"['Juan Mora', 'Roberto Ayala', 'Carlos Marchena', 'Miguel', 'Emiliano Moretti', 'Pablo Aimar', 'David Albelda', 'Rubén Baraja', 'Vicente', 'David Villa', 'Mista']","['Molina', 'Jorge Andrade', 'Manuel Pablo', 'Romero', 'Joan Capdevila', 'Aldo Duscher', 'Sergio', 'Juan Valerón', 'Diego Tristán', 'Pedro Munitis', 'Rubén Castro']"
2005-09-17,Mallorca,R. Sociedad,"['Prats', 'Sergio Ballesteros', 'Alessandro Potenza', 'Fernando Navarro', 'Campano', 'Borja', 'Doni', 'Francisco Maciel', 'Adrián Peralta', 'Yordi', 'Juan Arango']","['Asier Riesgo', 'Labaka', 'Mikel González', 'Mikel Alonso', 'López Rekarte', 'Mikel Aranburu', 'Xabi Prieto', 'Gaizka Garitano', 'Barkero', 'Darko Kovacevic', 'Garikoitz Uranga']"
2005-09-18,Alavés,Getafe,"['Roberto Bonano', 'Poli', 'Josu Sarriegi', 'Óscar Téllez', 'Juanito', 'Martín Astudillo', 'Edu Alonso', 'Jandro', 'Nenê', 'Quique De Lucas', 'John Aloisi']","['Luis García', 'Mariano Pernía', 'David Belenguer', 'Aníbal Matellán', 'Cosmin Contra', 'Fabio Celestini', 'Mario Cotelo', 'Cubillo', 'Jaime Gavilán', 'Riki', 'Daniel Güiza']"
2005-09-18,Athletic,Málaga,"['Daniel Aranzubia', 'Luis Prieto', 'Andoni Iraola', 'Jesús Lacruz', 'Unai Expósito', 'Carlos Gurpegui', 'Ibon Gutiérrez', 'Pablo Orbaiz', 'Francisco Yeste', 'Fernando Llorente', 'Joseba Etxeberría']","['Francesc Arnau', 'Alexis', 'Gerardo', 'Nacho', 'César Navas', 'Valcarce', 'Fernando Sanz', 'Juan Rodríguez', 'Duda', 'Anderson Silva', 'Chengue Morales']"
2005-09-18,Cádiz,Villarreal,"['Armando', 'De Quintana', 'Abraham Paz', 'Raul', 'Varela', 'Andrés Fleurquin', 'Suárez', 'Pavoni', 'Sesma', 'Oli', 'Enrique']","['Sebastián Viera', 'Q. Álvarez', 'Gonzalo Rodríguez', 'Rodolfo Arruabarrena', 'Javi Venta', 'Antonio Valencia', 'Marcos Senna', 'Josico', 'Héctor Font', 'José Mari', 'Luciano Figueroa']"
2005-09-18,Celta,Racing,"['José Pinto', 'Sergio', 'Ángel López', 'Diego Placente', 'Pablo Contreras', 'Borja Oubiña', 'Iriney', 'Gustavo López', 'Fabian Canobbio', 'Fernando Baiano', 'Antonio Núñez']","['Dudu Aouate', 'Ayoze Díaz', 'Pinillos', 'Moratón', 'Samuel', 'Felipe Melo', 'Vitolo', 'Javi Casquero', 'Óscar Serrano', 'Stéphane Dalmat', 'Antoñito']"
2005-09-18,Osasuna,Sevilla,"['Ricardo', 'Josetxo', 'Javi Flaño', 'Carlos Cuéllar', 'Clavero', 'Moha', 'David López', 'Marcelo Sosa', 'Raúl García', 'Bernardo Romeo', 'Savo Milosevic']","['Andrés Palop', 'Ivica Dragutinovic', 'David Castedo', 'Aitor Ocio', 'Daniel Alves', 'Adriano', 'Jesús Navas', 'Enzo Maresca', 'José Martí', 'Frédéric Kanouté', 'Kepa']"
2005-09-18,Real Betis,Real Zaragoza,"['Koke Contreras', 'Melli', 'Nano', 'Paolo Castellini', 'Varela', 'Rivera', 'Miguel Ángel', 'Joaquín', 'Israel', 'Ricardo Oliveira', 'Dani']","['Raúl Valbuena', 'Gabriel Milito', 'Delio Toledo', 'Álvaro Maior', 'José Movilla', 'Leonardo Ponzio', 'Alberto Zapater', 'Sávio', 'Óscar', 'Diego Milito', 'Ewerthon']"
2005-09-18,Espanyol,Real Madrid,"['Carlos Kameni', 'Alberto Lopo', 'Armando Sá', 'David García', 'Daniel Jarque', 'Didier Domi', 'Iván De La Peña', 'Eduardo Costa', 'Ito', 'Luis García', 'Coro']","['Iker Casillas', 'Roberto Carlos', 'Míchel Salgado', 'Sergio Ramos', 'Iván Helguera', 'David Beckham', 'Pablo García', 'Robinho', 'Ronaldo', 'Raúl', 'Júlio Baptista']"
2005-09-18,Atlético,Barcelona,"['Leonardo Franco', 'Luis Perea', 'Martin Petrov', 'Antonio López', 'Juan Velasco', 'Peter Luccin', 'Gabi', 'Maximiliano Rodriguez', 'Pablo Ibáñez', 'Fernando Torres', 'Mateja Kezman']","['Víctor Valdés', 'Rafael Márquez', 'Carles Puyol', 'Edmilson', 'Giovanni Van Bronckhorst', 'Oleguer', 'Xavi', 'Deco', 'Ronaldinho', ""Samuel Eto'o"", 'Ludovic Giuly']"
2005-09-21,Barcelona,Valencia,"['Víctor Valdés', 'Carles Puyol', 'Rafael Márquez', 'Giovanni Van Bronckhorst', 'Oleguer', 'Edmilson', 'Deco', 'Xavi', 'Ronaldinho', ""Samuel Eto'o"", 'Ludovic Giuly']","['Santiago Cañizares', 'Marco Caneira', 'Roberto Ayala', 'Emiliano Moretti', 'Fábio Aurélio', 'David Albelda', 'Carlos Marchena', 'Pablo Aimar', 'Vicente', 'Francisco Rufete', 'David Villa']"
2005-09-21,RC Deportivo,Real Betis,"['Molina', 'Fabricio Coloccini', 'Jorge Andrade', 'Manuel Pablo', 'Romero', 'Joan Capdevila', 'Aldo Duscher', 'Sergio', 'Juan Valerón', 'Diego Tristán', 'Rubén Castro']","['Doblas', 'Juanito', 'Óscar López', 'Rivas', 'Varela', 'Rivera', 'Miguel Ángel', 'Marcos Assunção', 'Joaquín', 'Xisco Muñoz', 'Ricardo Oliveira']"
2005-09-21,Sevilla,Cádiz,"['Andrés Palop', 'Ivica Dragutinovic', 'Javi Navarro', 'David Castedo', 'Adriano', 'Daniel Alves', 'Jesús Navas', 'José Martí', 'Jordi López', 'Kepa', 'Luís Fabiano']","['Armando', 'De Quintana', 'Abraham Paz', 'Raul', 'Varela', 'Andrés Fleurquin', 'Suárez', 'Pavoni', 'Sesma', 'Enrique', 'Oli']"
2005-09-21,Getafe,Mallorca,"['Luis García', 'Mariano Pernía', 'David Belenguer', 'Aníbal Matellán', 'Cosmin Contra', 'Diego Rivas', 'Fabio Celestini', 'Jaime Gavilán', 'Riki', 'Daniel Güiza', 'Veljko Paunovic']","['Miguel Moyá', 'Fernando Navarro', 'Alessandro Potenza', 'Sergio Ballesteros', 'Francisco Maciel', 'Borja', 'Juan Arango', 'Adrián Peralta', 'Campano', 'Doni', 'Yordi']"
2005-09-21,Málaga,Alavés,"['Francesc Arnau', 'Gerardo', 'Nacho', 'César Navas', 'Valcarce', 'Fernando Sanz', 'Duda', 'Anderson Silva', 'Hidalgo', 'Edgar', 'Chengue Morales']","['Franco Costanzo', 'Mauricio Pellegrino', 'Coromina', 'Juanito', 'Martín Astudillo', 'Carpintero', 'Edu Alonso', 'Jandro', 'Nenê', 'Quique De Lucas', 'John Aloisi']"
2005-09-21,Racing,Espanyol,"['Dudu Aouate', 'Ayoze Díaz', 'Pinillos', 'Moratón', 'Samuel', 'Vitolo', 'Javi Casquero', 'Óscar Serrano', 'Stéphane Dalmat', 'Antoñito', 'Raul Martín']","['Carlos Kameni', 'Juanfran', 'Alberto Lopo', 'Armando Sá', 'David García', 'Daniel Jarque', 'Didier Domi', 'Fredson', 'Albert Riera', 'Eduardo Costa', 'Luis García']"
2005-09-21,R. Sociedad,Atlético,"['Asier Riesgo', 'Cifu', 'Labaka', 'Mikel González', 'Javi Garrido', 'Mikel Alonso', 'Álvaro Novo', 'Mikel Aranburu', 'Xabi Prieto', 'Nihat', 'Darko Kovacevic']","['Leonardo Franco', 'Antonio López', 'Juan Velasco', 'José García Calvo', 'Gabi', 'Martin Petrov', 'Peter Luccin', 'José Zahínos', 'Maximiliano Rodriguez', 'Fernando Torres', 'Mateja Kezman']"
2005-09-21,Real Zaragoza,Osasuna,"['Raúl Valbuena', 'Álvaro Maior', 'Gabriel Milito', 'Sávio', 'Agustín Aranzabal', 'Alberto Zapater', 'Leonardo Ponzio', 'José Movilla', 'Óscar', 'Ewerthon', 'Diego Milito']","['Ricardo', 'Josetxo', 'César Cruchaga', 'Enrique Corrales', 'Javi Flaño', 'Francisco Puñal', 'Muñoz', 'Ludovic Delporte', 'Valdo', 'David López', 'Pierre Webó']"
2005-09-21,Villarreal,Celta,"['Sebastián Viera', 'Gonzalo Rodríguez', 'Juan Peña', 'Javi Venta', 'Rodolfo Arruabarrena', 'Santiago Cazorla', 'Marcos Senna', 'Alessio Tacchinardi', 'Juan Riquelme', 'Diego Forlán', 'José Mari']","['José Pinto', 'Pablo Contreras', 'Sergio', 'José Enrique', 'Ángel López', 'Borja Oubiña', 'Iriney', 'Jorge Larena', 'David Silva', 'Fernando Baiano', 'Antonio Núñez']"
2005-09-22,Real Madrid,Athletic,"['Iker Casillas', 'Roberto Carlos', 'Míchel Salgado', 'Jonathan Woodgate', 'Francisco Pavón', 'David Beckham', 'Thomas Gravesen', 'Pablo García', 'Robinho', 'Ronaldo', 'Raúl']","['Daniel Aranzubia', 'Casas', 'Luis Prieto', 'Jesús Lacruz', 'Unai Expósito', 'Carlos Gurpegui', 'Ibon Gutiérrez', 'Tiko', 'Pablo Orbaiz', 'Francisco Yeste', 'Joseba Etxeberría']"
2005-09-24,Atlético,Getafe,"['Leonardo Franco', 'Antonio López', 'Pablo Ibáñez', 'Juan Velasco', 'José García Calvo', 'Gabi', 'Martin Petrov', 'Peter Luccin', 'Maximiliano Rodriguez', 'Fernando Torres', 'Mateja Kezman']","['Luis García', 'Mariano Pernía', 'David Belenguer', 'Aníbal Matellán', 'Ruben Pulido', 'Diego Rivas', 'Fabio Celestini', 'Mario Cotelo', 'Jaime Gavilán', 'Riki', 'Daniel Güiza']"
2005-09-24,Espanyol,Villarreal,"['Carlos Kameni', 'Daniel Jarque', 'Ito', 'Didier Domi', 'Armando Sá', 'Moisés Hurtado', 'Eduardo Costa', 'Iván De La Peña', 'Coro', 'David García', 'Luis García']","['Sebastián Viera', 'Q. Álvarez', 'Juan Peña', 'Rodolfo Arruabarrena', 'Javi Venta', 'Juan Sorín', 'Marcos Senna', 'Josico', 'Juan Riquelme', 'José Mari', 'Diego Forlán']"
2005-09-24,Real Zaragoza,RC Deportivo,"['César', 'Gabriel Milito', 'Delio Toledo', 'Álvaro Maior', 'José Movilla', 'Leonardo Ponzio', 'Alberto Zapater', 'Sávio', 'Óscar', 'Diego Milito', 'Ewerthon']","['Molina', 'Fabricio Coloccini', 'Jorge Andrade', 'Héctor', 'Joan Capdevila', 'Aldo Duscher', 'Julián De Guzmán', 'Sergio', 'Juan Valerón', 'Diego Tristán', 'Pedro Munitis']"
2005-09-24,Valencia,R. Sociedad,"['Santiago Cañizares', 'Roberto Ayala', 'Carlos Marchena', 'Miguel', 'Emiliano Moretti', 'Pablo Aimar', 'David Albelda', 'Rubén Baraja', 'Vicente', 'Francisco Rufete', 'David Villa']","['Asier Riesgo', 'Cifu', 'Labaka', 'Mikel González', 'Javi Garrido', 'Mikel Alonso', 'Álvaro Novo', 'Mikel Aranburu', 'Xabi Prieto', 'Nihat', 'Darko Kovacevic']"
2005-09-24,Real Betis,Barcelona,"['Doblas', 'Juanito', 'Rivas', 'Óscar López', 'Joaquín', 'Fernando', 'Miguel Ángel', 'Marcos Assunção', 'Rivera', 'Ricardo Oliveira', 'Varela']","['Víctor Valdés', 'Carles Puyol', 'Oleguer', 'Sylvinho', 'Juliano Belletti', 'Edmilson', 'Mark Van Bommel', 'Xavi', 'Ludovic Giuly', ""Samuel Eto'o"", 'Henrik Larsson']"
2005-09-25,Alavés,Real Madrid,"['Franco Costanzo', 'Lluís Carreras', 'Mauricio Pellegrino', 'Juanito', 'Martín Astudillo', 'Carpintero', 'Edu Alonso', 'Bodipo', 'Nenê', 'Quique De Lucas', 'John Aloisi']","['Iker Casillas', 'Roberto Carlos', 'Míchel Salgado', 'Sergio Ramos', 'Iván Helguera', 'David Beckham', 'Guti', 'Pablo García', 'Ronaldo', 'Raúl', 'Júlio Baptista']"
2005-09-25,Osasuna,Cádiz,"['Ricardo', 'Javi Flaño', 'Miguel Flaño', 'Carlos Cuéllar', 'Clavero', 'David López', 'Ludovic Delporte', 'Marcelo Sosa', 'Raúl García', 'Bernardo Romeo', 'Savo Milosevic']","['Armando', 'Abraham Paz', 'De Quintana', 'Raul', 'Varela', 'Sesma', 'Enrique', 'Andrés Fleurquin', 'Suárez', 'Pavoni', 'Oli']"
2005-09-25,Mallorca,Málaga,"['Prats', 'Fernando Navarro', 'Alessandro Potenza', 'Sergio Ballesteros', 'Francisco Maciel', 'Juan Arango', 'Adrián Peralta', 'Campano', 'Javier Farinós', 'Yordi', 'Yoshito Okubo']","['Francesc Arnau', 'Gerardo', 'Nacho', 'César Navas', 'Valcarce', 'Fernando Sanz', 'Juan Rodríguez', 'Duda', 'Salva Ballesta', 'Edgar', 'Chengue Morales']"
2005-09-25,Athletic,Racing,"['Daniel Aranzubia', 'Casas', 'Luis Prieto', 'Jesús Lacruz', 'Unai Expósito', 'Carlos Gurpegui', 'Tiko', 'Pablo Orbaiz', 'Francisco Yeste', 'Fernando Llorente', 'Joseba Etxeberría']","['Dudu Aouate', 'Ayoze Díaz', 'Pinillos', 'Moratón', 'Samuel', 'Matabuena', 'Javi Casquero', 'Stéphane Dalmat', 'Jonathan Valle', 'David Aganzo', 'Raul Martín']"
2005-09-25,Celta,Sevilla,"['José Pinto', 'Sergio', 'Ángel López', 'Diego Placente', 'Pablo Contreras', 'David Silva', 'Borja Oubiña', 'Iriney', 'Jorge Larena', 'Fernando Baiano', 'Antonio Núñez']","['Andrés Palop', 'Ivica Dragutinovic', 'Javi Navarro', 'David Castedo', 'Daniel Alves', 'Adriano', 'Jesús Navas', 'Renato', 'Enzo Maresca', 'José Martí', 'Luís Fabiano']"
2005-10-01,Barcelona,Real Zaragoza,"['Víctor Valdés', 'Carles Puyol', 'Rafael Márquez', 'Giovanni Van Bronckhorst', 'Juliano Belletti', 'Oleguer', 'Andrés Iniesta', 'Deco', 'Ronaldinho', ""Samuel Eto'o"", 'Ludovic Giuly']","['César', 'Gabriel Milito', 'Álvaro Maior', 'Sávio', 'Delio Toledo', 'Cani', 'José Movilla', 'Leonardo Ponzio', 'Alberto Zapater', 'Diego Milito', 'Ewerthon']"
2005-10-01,Getafe,Valencia,"['Luis García', 'Mariano Pernía', 'David Belenguer', 'Aníbal Matellán', 'Ruben Pulido', 'Cosmin Contra', 'Diego Rivas', 'Fabio Celestini', 'Riki', 'Daniel Güiza', 'Veljko Paunovic']","['Santiago Cañizares', 'Roberto Ayala', 'Carlos Marchena', 'Marco Caneira', 'Raúl Albiol', 'Emiliano Moretti', 'Pablo Aimar', 'Rubén Baraja', 'Vicente', 'Francisco Rufete', 'David Villa']"
2005-10-02,Cádiz,Celta,"['Armando', 'De Quintana', 'Abraham Paz', 'Raul', 'Varela', 'Andrés Fleurquin', 'Suárez', 'Pavoni', 'Sesma', 'Enrique', 'Alexander Medina']","['José Pinto', 'Pablo Contreras', 'Sergio', 'Diego Placente', 'Ángel López', 'Borja Oubiña', 'Jorge Larena', 'Iriney', 'David Silva', 'Antonio Núñez', 'Fernando Baiano']"
2005-10-02,RC Deportivo,Osasuna,"['Molina', 'Jorge Andrade', 'Manuel Pablo', 'Romero', 'Joan Capdevila', 'Aldo Duscher', 'Sergio', 'Juan Valerón', 'Diego Tristán', 'Pedro Munitis', 'Rubén Castro']","['Elía', 'Izquierdo', 'César Cruchaga', 'Miguel Flaño', 'Clavero', 'Moha', 'Francisco Puñal', 'Muñoz', 'Fran Moreno', 'Valdo', 'Savo Milosevic']"
2005-10-02,Sevilla,Espanyol,"['Andrés Palop', 'Ivica Dragutinovic', 'Javi Navarro', 'Daniel Alves', 'Adriano', 'Jesús Navas', 'Enzo Maresca', 'José Martí', 'Antonio Puerta', 'Javier Saviola', 'Frédéric Kanouté']","['Carlos Kameni', 'Juanfran', 'Alberto Lopo', 'Armando Sá', 'Daniel Jarque', 'Pablo Zabaleta', 'Moisés Hurtado', 'Iván De La Peña', 'Fredson', 'Ito', 'Luis García']"
2005-10-02,Racing,Alavés,"['Dudu Aouate', 'Ayoze Díaz', 'Pinillos', 'Moratón', 'Samuel', 'Vitolo', 'Javi Casquero', 'Óscar Serrano', 'Stéphane Dalmat', 'Juanjo', 'Antoñito']","['Franco Costanzo', 'Lluís Carreras', 'Gaspar', 'Mauricio Pellegrino', 'Juanito', 'Martín Astudillo', 'Jandro', 'Bodipo', 'Nenê', 'Quique De Lucas', 'Wesley Lopes']"
2005-10-02,R. Sociedad,Real Betis,"['Asier Riesgo', 'Igor Jáuregi', 'Labaka', 'Javi Garrido', 'López Rekarte', 'Mikel Alonso', 'Álvaro Novo', 'Mikel Aranburu', 'Xabi Prieto', 'Nihat', 'Darko Kovacevic']","['Koke Contreras', 'Juanito', 'Melli', 'Nano', 'Óscar López', 'Varela', 'Miguel Ángel', 'Marcos Assunção', 'Joaquín', 'Edu', 'Xisco Muñoz']"
2005-10-02,Villarreal,Athletic,"['Sebastián Viera', 'Gonzalo Rodríguez', 'Juan Peña', 'Juan Sorín', 'Rodolfo Arruabarrena', 'Marcos Senna', 'Josico', 'Javi Venta', 'Juan Riquelme', 'Diego Forlán', 'José Mari']","['Daniel Aranzubia', 'Luis Prieto', 'Carlos Gurpegui', 'Jesús Lacruz', 'Pablo Orbaiz', 'Casas', 'Andoni Iraola', 'Francisco Yeste', 'Ibon Gutiérrez', 'Joseba Etxeberría', 'Fernando Llorente']"
2005-10-02,Real Madrid,Mallorca,"['Iker Casillas', 'Roberto Carlos', 'Míchel Salgado', 'Sergio Ramos', 'Iván Helguera', 'David Beckham', 'Guti', 'Pablo García', 'Ronaldo', 'Raúl', 'Júlio Baptista']","['Prats', 'Fernando Navarro', 'David Cortés', 'Alessandro Potenza', 'Sergio Ballesteros', 'Juan Arango', 'Adrián Peralta', 'Campano', 'Javier Farinós', 'Yordi', 'Yoshito Okubo']"
